aging,subscribe,order,Tagihan
30,1207,12,23000000
29,1207,12,23000000
11,190,12,23000000
87,190,12,23000000
3,190,12,23000000
5,190,12,23000000
4,190,12,23000000
114,190,12,23000000
21,190,12,23000000
22,190,12,23000000
106,190,12,23000000
13,190,12,23000000
32,1460,25,72452800
34,1460,25,70949000
6,190,25,65242400
127,190,25,7622300
113,190,25,6343200
5,190,25,38346700
1,190,25,52290300
20,190,25,43318900
14,190,25,52539400
122,190,25,45763200
13,190,25,52560700
98,190,25,64384700
94,190,25,51417500
199,190,25,61643500
105,190,25,50509300
109,190,25,58770200
40,190,25,44283100
36,190,25,60559400
13,190,25,59450600
191,190,25,57169700
1,190,25,69633200
166,190,25,67143800
20,190,25,54550400
9,190,25,64831200
14,190,25,48072400
143,190,1,2759233
32,2010,18,2785100
148,2010,18,2723800
6,190,18,2753900
128,190,18,2805600
112,190,18,3713000
6,190,18,2770500
16,190,18,2717000
16,190,18,2719100
24,190,18,2726200
183,190,18,2612900
15,190,18,2600000
44,190,18,2600000
55,190,18,2600000
68,190,18,2600000
101,190,18,2600000
157,190,18,2600000
23,190,18,2600000
99,190,18,2600000
39,1998,30,188687900
13,1998,30,144073300
65,190,30,128288000
28,190,30,105659500
113,190,30,90563700
6,190,30,150923200
3,190,30,124707100
27,190,30,104883500
25,190,30,111149700
1,190,30,97985900
13,190,30,113969600
75,190,30,17000000
24,190,30,21236900
9,190,30,23168100
42,190,30,23486200
12,190,30,31774900
7,190,30,26826400
126,190,30,32762500
59,190,30,35696400
43,190,30,40585500
25,190,30,39808000
29,190,30,43419400
22,190,30,46448100
35,190,30,40475400
92,190,30,59871600
31,190,30,52094200
32,190,30,50419900
22,190,30,59146200
87,190,30,55631000
279,190,30,94639700
39,1705,20,1662284600
188,1705,20,1428087600
45,190,20,1495106500
24,190,20,1723976000
113,190,20,1801731000
6,190,20,1699839400
3,190,20,2022911800
15,190,20,2159186000
70,190,20,2106940800
49,190,20,1843151800
24,190,20,1804194600
238,190,20,2025815900
20,190,20,1460654600
20,1707,12,2040200
16,1707,12,2043800
3,190,12,2053400
135,190,12,2011200
113,190,12,2026800
6,190,12,2053300
16,190,12,2065500
20,190,12,2061400
79,190,12,2096100
134,190,12,2074600
20,190,12,2067700
22,190,12,2063800
98,1460,4,3589100
26,1460,4,3347400
12,190,4,3386200
48,190,4,3366500
36,1460,12,17000000
31,1460,12,17000000
85,190,12,17000000
45,190,12,17000000
113,190,12,17000000
6,190,12,17000000
19,190,12,17000000
99,190,12,17000000
60,190,12,17000000
30,190,12,17000000
19,190,12,17000000
21,190,12,17000000
33,1460,10,17000000
32,1460,10,17000000
85,190,10,17000000
56,190,10,17000000
112,190,10,17000000
6,190,10,17000000
33,190,10,17000000
6,190,10,17000000
3,190,10,17000000
20,190,10,17000000
6,190,5,2107267
58,190,5,2411217
34,190,5,2714883
11,190,5,2502733
220,190,5,3083833
35,1460,12,17000000
85,1460,12,17000000
63,190,12,17000000
56,190,12,17000000
115,190,12,17000000
2,190,12,17000000
25,190,12,17000000
8,190,12,17000000
35,190,12,17000000
69,190,12,17000000
10,190,12,17000000
19,190,12,17000000
18,190,1,3500000
51,1903,12,2000000
56,1903,12,2097900
63,190,12,2073300
56,190,12,2047000
115,190,12,2048200
2,190,12,2045400
42,190,12,2040500
20,190,12,2044100
142,190,12,2039000
84,190,12,2059100
22,190,12,2027300
113,190,12,2000000
162,1460,12,17000000
10,1460,12,17000000
63,190,12,17000000
49,190,12,17000000
114,190,12,17000000
2,190,12,17000000
7,190,12,17000000
7,190,12,17000000
29,190,12,17000000
2,190,12,17000000
2,190,12,17000000
141,190,12,17000000
61,1460,12,17000000
7,1460,12,17000000
84,190,12,17000000
14,190,12,17000000
122,190,12,17000000
5,190,12,17000000
20,190,12,17000000
10,190,12,17000000
36,190,12,17000000
14,190,12,17000000
39,190,12,17000000
2,190,12,17000000
70,2009,12,266083300
55,2009,12,264022800
63,190,12,259748700
8,190,12,237737100
115,190,12,204012700
2,190,12,281740700
1,190,12,275108100
20,190,12,256287000
5,190,12,266569400
8,190,12,253958500
34,190,12,266212800
2,190,12,231469500
55,1705,12,18548700
53,1705,12,16482800
5,190,12,18235500
16,190,12,17827400
244,190,12,13358700
2,190,12,14178500
15,190,12,21115700
13,190,12,21226300
35,190,12,26633900
34,190,12,22178600
11,190,12,23948800
26,190,12,22416800
42,1460,12,23573800
24,1460,12,21366000
23,190,12,20740000
50,190,12,17693500
31,190,12,15489300
2,190,12,18786700
21,190,12,20071200
25,190,12,18490500
5,190,12,17648700
186,190,12,16684300
11,190,12,17826900
49,190,12,17199100
24,2009,12,249809200
54,2009,12,224535800
16,190,12,246253400
49,190,12,245885100
30,190,12,245087000
1,190,12,267380400
26,190,12,273366200
50,190,12,259569800
3,190,12,242413500
18,190,12,220610000
14,190,12,223999100
133,190,12,225193159
24,1460,12,17000000
55,1460,12,17000000
287,190,12,17000000
39,190,12,17000000
73,190,12,17000000
3,190,12,17000000
3,190,12,17000000
68,190,12,17000000
4,190,12,17000000
18,190,12,17000000
14,190,12,17000000
121,190,12,17000000
132,2010,12,18000000
